Date,ChangingRate,Company,Anomaly
2013-04-25,-0.00693043064239,AAPL,0.0
2013-04-26,0.0180327251413,AAPL,0.0
2013-04-29,0.0229991583185,AAPL,0.0
2013-04-30,0.0176510847675,AAPL,0.0
2013-05-01,-0.0116321018241,AAPL,0.0
2013-05-02,0.00846577276727,AAPL,0.0
2013-05-03,-0.00294689912522,AAPL,0.0
2013-05-06,0.0109719103691,AAPL,0.0
2013-05-07,-0.0135707593455,AAPL,0.0
2013-05-08,0.0104566162773,AAPL,0.0
2013-05-09,-0.00661146144266,AAPL,0.0
2013-05-10,-0.0109177653081,AAPL,0.0
2013-05-13,0.00715384172818,AAPL,0.0
2013-05-14,-0.0220116794885,AAPL,0.0
2013-05-15,-0.0234766504513,AAPL,0.0
2013-05-16,0.0267933588847,AAPL,0.0
2013-05-17,-0.0131875345695,AAPL,0.0
2013-05-20,0.0255146124902,AAPL,0.0
2013-05-21,0.00344630378511,AAPL,0.0
2013-05-22,-0.00608042330728,AAPL,0.0
2013-05-23,0.0141988644184,AAPL,0.0
2013-05-24,0.00975385707771,AAPL,0.0
2013-05-28,-0.0188041868867,AAPL,0.0
2013-05-29,0.0112499863381,AAPL,0.0
2013-05-30,0.0133063767241,AAPL,0.0
2013-05-31,-0.00612152680126,AAPL,0.0
2013-06-03,-2.21462963528e-05,AAPL,0.0
2013-06-04,-0.00862715047446,AAPL,0.0
2013-06-05,-0.00121174684307,AAPL,0.0
2013-06-06,-0.0157362265178,AAPL,0.0
2013-06-07,0.0121649575895,AAPL,0.0
2013-06-10,-0.0131315677041,AAPL,0.0
2013-06-11,0.00426857977933,AAPL,0.0
2013-06-12,-0.0166325259379,AAPL,0.0
2013-06-13,0.00800000479075,AAPL,0.0
2013-06-14,-0.0122875560725,AAPL,0.0
2013-06-17,0.001298011326,AAPL,0.0
2013-06-18,0.000486590513362,AAPL,0.0
2013-06-19,-0.0194715045397,AAPL,0.0
2013-06-20,-0.0058669280178,AAPL,0.0
2013-06-21,-0.0119238021844,AAPL,0.0
2013-06-24,-0.0119293296919,AAPL,0.0
2013-06-25,-0.00756717782944,AAPL,0.0
2013-06-26,-0.0144342978434,AAPL,0.0
2013-06-27,-0.0137006966144,AAPL,0.0
2013-06-28,0.0132103353809,AAPL,0.0
2013-07-01,0.0162159455097,AAPL,0.0
2013-07-02,0.0208068829894,AAPL,0.0
2013-07-03,-0.000142558098039,AAPL,0.0
2013-07-05,-0.00706487312764,AAPL,0.0
2013-07-08,-0.0120444290981,AAPL,0.0
2013-07-09,0.0211557068145,AAPL,0.0
2013-07-10,0.00269306487499,AAPL,0.0
2013-07-11,0.010261243573,AAPL,0.0
2013-07-12,-0.00266572899022,AAPL,0.0
2013-07-15,0.00571754784931,AAPL,0.0
2013-07-16,0.00862797780856,AAPL,0.0
2013-07-17,0.00141959737701,AAPL,0.0
2013-07-18,-0.00373808196645,AAPL,0.0
2013-07-19,-0.0188178456328,AAPL,0.0
2013-07-22,-0.00733480877846,AAPL,0.0
2013-07-23,-0.0164554224966,AAPL,0.0
2013-07-24,0.00359967424874,AAPL,0.0
2013-07-25,-0.00499204681178,AAPL,0.0
2013-07-26,0.0130714586139,AAPL,0.0
2013-07-29,0.015857556859,AAPL,0.0
2013-07-30,0.00746737721636,AAPL,0.0
2013-07-31,-0.00540676485313,AAPL,0.0
2013-08-01,0.00204060568472,AAPL,0.0
2013-08-02,0.0098905853584,AAPL,0.0
2013-08-05,0.0102433881754,AAPL,0.0
2013-08-06,-0.00591854612745,AAPL,0.0
2013-08-07,0.00254420878196,AAPL,0.0
2013-08-08,-0.0061440971053,AAPL,0.0
2013-08-09,-0.00913571470402,AAPL,0.0
2013-08-12,0.0229829697573,AAPL,0.0
2013-08-13,0.0395590954402,AAPL,1.0
2013-08-14,0.00124525985446,AAPL,0.0
2013-08-15,0.00300141806329,AAPL,0.0
2013-08-16,0.0043587405609,AAPL,0.0
2013-08-19,0.00674152181982,AAPL,0.0
2013-08-20,-0.0169507784254,AAPL,0.0
2013-08-21,-0.00244243132841,AAPL,0.0
2013-08-22,-0.00400019412254,AAPL,0.0
2013-08-23,-0.00447073938232,AAPL,0.0
2013-08-26,0.00443339398882,AAPL,0.0
2013-08-27,-0.0188956558676,AAPL,0.0
2013-08-28,0.0100822609435,AAPL,0.0
2013-08-29,0.000101671915705,AAPL,0.0
2013-08-30,-0.00971540261675,AAPL,0.0
2013-09-03,-0.00916649376056,AAPL,0.0
2013-09-04,-0.00174149449774,AAPL,0.0
2013-09-05,-0.00995509827167,AAPL,0.0
2013-09-06,-0.000441326960418,AAPL,0.0
2013-09-09,0.00231676426468,AAPL,0.0
2013-09-10,-0.0228368157135,AAPL,0.0
2013-09-11,0.00149886726836,AAPL,0.0
2013-09-12,0.00894342975244,AAPL,0.0
2013-09-13,-0.0094600825858,AAPL,0.0
